apartment_id,title,city,area,location,bedrooms,bathrooms,area_sqm,view,price,amenities,description,agent_email
AP001,apartment, New Cairo,"Moon Residences, Fifth Square, Fifth Settlement","Moon Residences, Fifth Square, Fifth Settlement, New Cairo",3,3,160,garden view,13000000,"swimming pools, parking, 24h security, artificial lakes, fountains, clubhouse, cafes, restaurants, commercial area, social club, kids play area","Fully finished apartment for sale in Moon Residences, Fifth Square. The property features 3 bedrooms including one master bedroom, 3 bathrooms, a modern kitchen with ACs installed, and a private parking slot. The compound offers luxury amenities including pools, lakes, clubhouse, restaurants, cafes, and secure gated living.",ahmedashraf2452001@gmail.com
AP002,studio, New Cairo,"Palm Hills New Cairo, Fifth Settlement","Palm Hills New Cairo, Fifth Settlement, New Cairo",1,1,70,prime view,6000000,"24h security, swimming pools, gardens, picnic areas, commercial area, green spaces, clubhouse","Fully finished ultra super lux studio for sale in Palm Hills New Cairo. The unit has 1 bedroom, 1 bathroom, reception area, and is located in a very prime location with a great view inside a compound that offers pools, gardens, shopping areas, and high security.",ahmedashraf2452001@gmail.com
AP003,apartment, New Cairo,"The Address East, 90 Street","The Address East, 90 Street, New Cairo",3,2,144,community view,3500000,"24h security, residential compound, gardens, commercial areas, parking","Ready-to-move fully finished apartment for sale in The Address East, New Cairo. The unit has an area of 144 sqm with 3 bedrooms and 2 bathrooms. Located in a prestigious compound developed by Dorra, offering a modern residential environment with privacy, security, and high-end community services.",ahmedashraf2452001@gmail.com
AP004,apartment, East Cairo,"East Vale, Mostakbal City","East Vale, Mostakbal City, East Cairo",3,4,176,garden and water landscape view,22936160,"green areas, water features, wellness boulevard, sports club, sports courts, jogging tracks, cycling lanes, community gardens, retail village, cafes, restaurants","Spacious family apartment for sale in Eastvale, Mostakbal City. The unit offers 176 sqm with 3 bedrooms, 4 bathrooms, a nanny room with private bathroom, terrace, storage room, and a large reception and dining area. Located in a wellness-focused community surrounded by landscaped gardens and water features with access to sports facilities, jogging tracks, retail village, and relaxation areas.",ahmedashraf2452001@gmail.com
AP005,apartment, Madinaty,"Privado, Madinaty B15","Privado, Madinaty B15, Madinaty",3,3,147,open compound view,7500000,"24h security, parking, gardens, nearby amenities, gated community","Fully finished apartment for sale in Privado, Madinaty B15 with immediate occupancy. The unit has an area of 147 sqm and includes 3 bedrooms with a master bedroom and dressing room, 3 bathrooms, a spacious two-piece reception area, and a kitchen. Located in a prime Talaat Moustafa Group development close to services and amenities with installment options up to 5.5 years.",ahmedashraf2452001@gmail.com
AP006,apartment, New Cairo,"Mostashareen, North Investors Area","Mostashareen, North Investors Area, New Cairo",3,2,186,compound view,7500000,"24h security, parking, gardens, nearby services, gated community","Super lux finished apartment for sale in Court Advisors Compound located in the North Investors Area, New Cairo. The apartment is on the third floor with an area of 186 sqm and includes 3 bedrooms, 2 bathrooms, a spacious reception area, and access to all essential services. The property offers immediate delivery in a well-serviced residential compound.",ahmedashraf2452001@gmail.com
AP007,apartment, New Cairo,"Jiwar Compound, 6th Settlement","Jiwar Compound, 6th Settlement, New Cairo",2,2,101,landscape and lake view,4000000,"clubhouse, shopping mall, hotel units, restaurants, cafes, swimming pools, green areas, security, guarding","Modern two-bedroom apartment for sale in Jiwar Compound located in the 6th Settlement, New Cairo. The 101 sqm unit features two master bedrooms, two bathrooms, a three-piece reception area, large kitchen, and terrace with an open landscape and lake view. The compound offers premium amenities including pools, clubhouse, shopping mall, restaurants, cafes, and extensive green spaces with a 5% down payment and installment plan up to 10 years.",ahmedashraf2452001@gmail.com
AP008,studio, New Cairo,"Taj City, 5th Settlement","Taj City, 5th Settlement, New Cairo",1,2,100,compound view,5500000,"green spaces, sports club, swimming pools, commercial area, restaurants, cafes, international schools, medical centers, 24h security","Fully finished and furnished studio apartment for sale in Taj City, New Cairo. The 100 sqm unit includes 1 bedroom, 2 bathrooms, air conditioning, and appliances with immediate occupancy. Located in a large residential compound offering green spaces, sports facilities, swimming pools, commercial areas, schools, and medical centers.",ahmedashraf2452001@gmail.com
AP009,apartment, New Cairo,"Beta Greens, Mostakbal City","Beta Greens, Mostakbal City, New Cairo",2,2,127,open view,3000000,"green spaces, 24h security, private parking, gardens, commercial area, clubhouse, walking tracks","Fully finished apartment for sale in Beta Greens Compound, Mostakbal City. The 127 sqm unit includes 2 bedrooms including a master bedroom, 2 bathrooms, a spacious three-piece reception area, large kitchen, and terrace with an open view. The property offers immediate occupancy within a fully serviced compound featuring green spaces, clubhouse, parking, commercial areas, and walking tracks.",ahmedashraf2452001@gmail.com
AP010,studio, New Cairo,"Cavali Residence, 5th Settlement","Cavali Residence, 5th Settlement, New Cairo",1,1,40,north-facing view,2000000,"swimming pools, green spaces, parking garages, restaurants, cafes, commercial area, sports club, social club, clubhouse, kids area, security, surveillance cameras, maintenance","Studio apartment for sale in Cavali Residence located in the Fifth Settlement, New Cairo. The 40 sqm unit includes a master bedroom, bathroom, reception area, kitchen, and terrace with a north-facing view. Located near North 90th Street and the American University, the compound offers extensive amenities including pools, clubhouse, sports facilities, commercial areas, and 24-hour security with long-term installment plans available.",ahmedashraf2452001@gmail.com
